05194F2/113.5,⿰示只
04276F1/86.8,⿱泃灬
01238F1/30.12,⿰口絙
01847F1/40.4,⿱宀牙
02034F1/44.16,⿲尾火㸓
02025F1/44.12,⿰尾臽
02007F1/44.7,⿰尾也
02000F1/44.5,⿰尼也
00791F1/20.5,⿱勹氺/⿱氺
07300F2/162.9,⿺辶⿱吅㐄
04662F2/97.11,⿰國瓜
01312F1/30.15,⿰口⿰𥘈籴
03702F1/76.4,⿰元欠
02834F1/64.7,⿰扌辛
07209F2/159.12,⿰元輙
03874F1/82.8,⿺夌毛
01320F1/30.15,⿰口隣
01389F1/30.21,⿰口驃
08133F2/187.11,⿱⿰矛各馬
08413F2/200.12,⿳麻立貝
03459F1/75.6,⿰木成
01023F1/30.8,⿰口泛
01391F1/30.21,⿰口鑁
01260F1/30.13,⿰口稜
01399F1/30.23,⿰口體
03246F1/72.9,⿰日𪽼
06345F2/140.12,⿱艹視
08046F2/184.9,⿰飠亲
05387F2/116.10,⿱穴珠
06793F2/148.3,⿰角之
01771F1/38.11,⿱取奻
07302F2/162.9,⿺辶卽
00345F1/9.10,⿰亻隻
02190F1/48.3,⿰工兀
04875F2/106.3,⿱白巳
01208F1/30.12,⿰口𧹞
01296F1/30.15,⿰口韯
03813F1/78.12,⿰歹喬
01015F1/30.7,⿰口伽
06122F2/137.15,⿰舟賓
01218F1/30.12,⿰口⿸虍
07510F2/167.6,⿰金⿺廴手
08191F2/190.7,⿰镸⿱彡𥃭
